lat,lon,alt,date,device,os,version
40.7119064331,-73.9939041138,28.8571434021,2012-03-21 14:43:12,"iPhone4,1",5.1,1.0
40.7188110352,-74.0002746582,31.9318752289,2012-03-21 14:47:28,"iPhone4,1",5.1,1.0
40.7214546204,-73.9949798584,33.4176292419,2012-03-21 23:32:16,"iPhone4,1",5.1,1.0
40.7214546204,-73.9949798584,32.0193901062,2012-03-21 23:36:32,"iPhone4,1",5.1,1.0
40.7214584351,-73.9950027466,32.6757125854,2012-03-21 23:53:36,"iPhone4,1",5.1,1.0
40.7190246582,-74.0001220703,31.7824726105,2012-03-22 02:59:12,"iPhone4,1",5.1,1.0
40.7122497559,-73.9942550659,28.9333324432,2012-03-22 03:12:00,"iPhone4,1",5.1,1.0
40.6797218323,-73.9802627563,36.4922103882,2012-03-22 03:22:40,"iPhone4,1",5.1,1.0
40.6754188538,-73.9623413086,50.8235282898,2012-03-22 03:37:36,"iPhone4,1",5.1,1.0
40.6630706787,-73.9917602539,51.9468231201,2012-03-22 16:27:44,"iPhone4,1",5.1,1.0
40.6852531433,-73.9769134521,40.8584823608,2012-03-22 16:40:32,"iPhone4,1",5.1,1.0
40.7161483765,-73.9925765991,40.8584823608,2012-03-22 16:46:56,"iPhone4,1",5.1,1.0
40.7193412781,-73.997428894,30.3230400085,2012-03-22 16:51:12,"iPhone4,1",5.1,1.0
40.7192687988,-73.9906616211,30.3835391998,2012-03-22 23:23:44,"iPhone4,1",5.1,1.0
40.7096176147,-73.9587860107,25.0934333801,2012-03-22 23:28:00,"iPhone4,1",5.1,1.0
40.7189292908,-73.9610671997,22.2488288879,2012-03-22 23:34:24,"iPhone4,1",5.1,1.0
40.7282981873,-73.9880599976,21.5806350708,2012-03-22 23:45:04,"iPhone4,1",5.1,1.0
40.7245101929,-73.9769287109,21.5806350708,2012-03-23 00:04:16,"iPhone4,1",5.1,1.0
40.7163200378,-73.9582595825,23.2401046753,2012-03-23 00:19:12,"iPhone4,1",5.1,1.0
40.7302436829,-73.9652023315,23.9095878601,2012-03-23 02:59:12,"iPhone4,1",5.1,1.0
40.7155685425,-73.9609451294,32,2012-03-23 03:12:00,"iPhone4,1",5.1,1.0
40.6993141174,-73.9705657959,26.7160339355,2012-03-23 03:26:56,"iPhone4,1",5.1,1.0
40.6694107056,-73.9724960327,33.8957214355,2012-03-23 03:33:20,"iPhone4,1",5.1,1.0
40.6754112244,-73.9622421265,51.3333320618,2012-03-23 03:39:44,"iPhone4,1",5.1,1.0
40.6808319092,-73.9741897583,58,2012-03-23 05:41:20,"iPhone4,1",5.1,1.0
40.6754074097,-73.9622344971,51,2012-03-23 10:44:16,"iPhone4,1",5.1,1.0
40.6815795898,-73.975151062,49,2012-03-23 11:29:04,"iPhone4,1",5.1,1.0
40.6754188538,-73.9622879028,51,2012-03-23 11:41:52,"iPhone4,1",5.1,1.0
40.671661377,-73.9795837402,67,2012-03-23 14:11:12,"iPhone4,1",5.1,1.0
40.6991348267,-73.9842681885,67,2012-03-23 14:21:52,"iPhone4,1",5.1,1.0
40.7176017761,-74.0027770996,39,2012-03-23 14:28:16,"iPhone4,1",5.1,1.0
40.7128944397,-73.994140625,32.1497688293,2012-03-23 23:19:28,"iPhone4,1",5.1,1.0
40.6792984009,-73.9739761353,34.698890686,2012-03-23 23:38:40,"iPhone4,1",5.1,1.0
40.6761779785,-73.9663238525,40,2012-03-23 23:51:28,"iPhone4,1",5.1,1.0
40.6867675781,-73.9624786377,52,2012-03-24 16:12:48,"iPhone4,1",5.1,1.0
40.6993904114,-73.9540939331,20,2012-03-24 16:23:28,"iPhone4,1",5.1,1.0
40.7021217346,-73.9588317871,8,2012-03-24 16:29:52,"iPhone4,1",5.1,1.0
40.6052436829,-74.0718994141,41.25,2012-03-24 16:49:04,"iPhone4,1",5.1,1.0
40.6116790771,-74.1381225586,41,2012-03-24 16:57:36,"iPhone4,1",5.1,1.0
40.5306854248,-74.2245101929,21,2012-03-24 17:04:00,"iPhone4,1",5.1,1.0
40.5175361633,-74.3069534302,33,2012-03-24 17:08:16,"iPhone4,1",5.1,1.0
40.5325202942,-74.3816375732,42.9999008179,2012-03-24 17:25:20,"iPhone4,1",5.1,1.0
40.5304298401,-74.3751602173,80,2012-03-24 17:59:28,"iPhone4,1",5.1,1.0
40.501121521,-74.4268722534,49.3494300842,2012-03-24 19:18:24,"iPhone4,1",5.1,1.0
40.5020103455,-74.421005249,40,2012-03-25 03:44:00,"iPhone4,1",5.1,1.0
40.529258728,-74.3518295288,42,2012-03-25 04:03:12,"iPhone4,1",5.1,1.0
40.6110343933,-74.1809844971,9,2012-03-25 04:07:28,"iPhone4,1",5.1,1.0
40.6110610962,-74.1157302856,77,2012-03-25 04:13:52,"iPhone4,1",5.1,1.0
40.6197013855,-74.0838470459,75,2012-03-25 04:26:40,"iPhone4,1",5.1,1.0
40.6857299805,-73.9807128906,12,2012-03-25 04:43:44,"iPhone4,1",5.1,1.0
40.6777114868,-73.9662628174,53,2012-03-25 04:56:32,"iPhone4,1",5.1,1.0
40.6992759705,-73.9599075317,50.6153831482,2012-03-25 15:40:48,"iPhone4,1",5.1,1.0
40.6905479431,-73.9671325684,51,2012-03-25 16:10:40,"iPhone4,1",5.1,1.0
40.6776199341,-73.9671707153,48,2012-03-25 16:25:36,"iPhone4,1",5.1,1.0
40.6832923889,-73.978805542,34,2012-03-25 17:38:08,"iPhone4,1",5.1,1.0
40.6763381958,-73.964050293,63.9992904663,2012-03-25 17:53:04,"iPhone4,1",5.1,1.0
40.6826133728,-73.9774246216,62,2012-03-25 18:52:48,"iPhone4,1",5.1,1.0
40.6754455566,-73.9622344971,50.5384597778,2012-03-25 20:35:12,"iPhone4,1",5.1,1.0
40.6805801392,-73.9733963013,58,2012-03-26 12:48:00,"iPhone4,1",5.1,1.0
40.6754455566,-73.9622497559,50.9411773682,2012-03-26 13:24:16,"iPhone4,1",5.1,1.0
40.6790122986,-73.9660568237,33,2012-03-26 14:09:04,"iPhone4,1",5.1,1.0
40.6882514954,-73.9804458618,42.6843605042,2012-03-26 14:15:28,"iPhone4,1",5.1,1.0
40.707698822,-73.9999923706,38.9270324707,2012-03-26 14:21:52,"iPhone4,1",5.1,1.0
40.7184829712,-74.0002593994,41.9867973328,2012-03-26 14:26:08,"iPhone4,1",5.1,1.0
40.7016906738,-73.9867477417,34.7636146545,2012-03-26 21:49:52,"iPhone4,1",5.1,1.0
40.6789169312,-73.9805221558,39,2012-03-26 21:56:16,"iPhone4,1",5.1,1.0
40.6719093323,-73.9634475708,28,2012-03-26 22:06:56,"iPhone4,1",5.1,1.0
40.6803665161,-73.9725265503,48.334903717,2012-03-26 22:58:08,"iPhone4,1",5.1,1.0
40.6754417419,-73.9622344971,51,2012-03-26 23:04:32,"iPhone4,1",5.1,1.0
40.6789855957,-73.9785461426,27.5454540253,2012-03-26 23:49:20,"iPhone4,1",5.1,1.0
40.6754302979,-73.9622344971,50.7857131958,2012-03-27 02:03:44,"iPhone4,1",5.1,1.0
40.6844940186,-73.9814071655,40,2012-03-27 02:29:20,"iPhone4,1",5.1,1.0
40.6754264832,-73.9622421265,50.3636360168,2012-03-27 02:35:44,"iPhone4,1",5.1,1.0
40.6845741272,-73.9815750122,46,2012-03-27 03:14:08,"iPhone4,1",5.1,1.0
40.6779022217,-73.9671173096,54,2012-03-27 03:29:04,"iPhone4,1",5.1,1.0
40.6845741272,-73.9815750122,48.155292511,2012-03-27 12:39:28,"iPhone4,1",5.1,1.0
40.6778144836,-73.9672088623,41,2012-03-27 12:54:24,"iPhone4,1",5.1,1.0
40.6840782166,-73.9805221558,50.2000007629,2012-03-27 13:41:20,"iPhone4,1",5.1,1.0
40.6735649109,-73.9667663574,50.6162796021,2012-03-27 13:56:16,"iPhone4,1",5.1,1.0
40.698802948,-73.9848937988,45.428527832,2012-03-27 14:09:04,"iPhone4,1",5.1,1.0
40.7191810608,-73.9980545044,37,2012-03-27 14:17:36,"iPhone4,1",5.1,1.0
40.7015228271,-73.9878692627,53,2012-03-28 01:04:00,"iPhone4,1",5.1,1.0
40.6646232605,-73.995223999,40,2012-03-28 01:14:40,"iPhone4,1",5.1,1.0
40.6801528931,-73.9869155884,43.0000038147,2012-03-28 01:18:56,"iPhone4,1",5.1,1.0
40.6784362793,-73.9692230225,49,2012-03-28 01:33:52,"iPhone4,1",5.1,1.0
40.6842880249,-73.9809646606,50.0426559448,2012-03-28 01:57:20,"iPhone4,1",5.1,1.0
40.6766700745,-73.9648971558,50.7269668579,2012-03-28 02:12:16,"iPhone4,1",5.1,1.0
40.6844825745,-73.9813842773,50.1743812561,2012-03-28 07:36:32,"iPhone4,1",5.1,1.0
40.6775093079,-73.9672698975,130,2012-03-28 07:49:20,"iPhone4,1",5.1,1.0
40.6845397949,-73.9814987183,50.8125,2012-03-28 09:04:00,"iPhone4,1",5.1,1.0
40.6754302979,-73.9622650146,50.8888893127,2012-03-28 11:18:24,"iPhone4,1",5.1,1.0
40.6766014099,-73.9681777954,46.3503646851,2012-03-28 16:04:16,"iPhone4,1",5.1,1.0
40.6849975586,-73.9760513306,43.5953941345,2012-03-28 16:19:12,"iPhone4,1",5.1,1.0
40.7175712585,-73.9939498901,38,2012-03-28 16:25:36,"iPhone4,1",5.1,1.0
40.7197036743,-73.9991836548,37.0093002319,2012-03-28 16:29:52,"iPhone4,1",5.1,1.0
